Wall time,Step,Value
1716032463.9142196,43,9.995714208343998e-05
1716032530.1512203,95,9.990530816139653e-05
1716032619.4094028,168,9.983254130929708e-05
1716032691.9308739,230,9.97707320493646e-05
1716032697.9047513,235,9.976574801839888e-05
1716032745.1301494,274,9.972686530090868e-05
1716032786.569067,309,9.969197708414868e-05
1716032788.7444565,311,9.968997619580477e-05
1716032798.548115,319,9.968200174625963e-05
1716032985.9148562,475,9.952645632438362e-05
1716033060.4606545,537,9.946462523657829e-05
1716033111.5810266,580,9.942174074240029e-05
1716033119.7847297,587,9.941476309904829e-05
1716033177.375064,635,9.936688729794696e-05
1716033192.8721936,648,9.935392154147848e-05
1716033274.7672877,715,9.928709187079221e-05
1716033386.3843894,809,9.919332660501823e-05
1716033665.4375048,1015,9.898780263029039e-05
1716033728.9879618,1067,9.893591050058603e-05
1716034031.3056576,1317,9.868641063803807e-05
1716034052.4959865,1334,9.86694431048818e-05
1716034056.7571943,1338,9.86654486041516e-05
1716034114.610109,1386,9.861753642326221e-05
1716034122.5285747,1393,9.861055150395259e-05
1716034175.3286107,1437,9.856662654783577e-05
1716034487.2720032,1692,9.831203351495788e-05
1716034538.7748551,1735,9.826909081311896e-05
1716034542.3684087,1738,9.826609311858192e-05
1716034740.0072708,1878,9.812627831706777e-05
1716034787.134279,1918,9.808632603380829e-05
1716034932.2625208,2037,9.796745871426538e-05
1716035004.1861107,2097,9.790751937543973e-05
1716035130.4980319,2200,9.780461550690234e-05
1716035204.870645,2263,9.774166392162442e-05
1716035259.8938484,2308,9.769669850356877e-05
1716035358.4617882,2390,9.761475666891783e-05
1716035415.114644,2437,9.756778308656067e-05
1716035477.0136476,2486,9.751881589181721e-05
1716035478.4115453,2487,9.751781180966645e-05
1716035492.4491305,2499,9.750582103151828e-05
1716035535.428238,2533,9.747183503350243e-05
1716035717.5134385,2686,9.73188944044523e-05
1716035810.7279005,2741,9.726390999276191e-05
1716036172.5755384,3039,9.696593770058826e-05
1716036407.645725,3231,9.67738960753195e-05
1716036427.302762,3247,9.67578889685683e-05
1716036498.5473316,3306,9.669886640040204e-05
1716036906.7047043,3619,9.638568735681474e-05
1716036908.7901719,3621,9.638368646847084e-05
1716036969.3720307,3671,9.633364243200049e-05
1716037054.703782,3742,9.626258542994037e-05
1716037141.830188,3815,9.618951298762113e-05
1716037149.8000326,3822,9.618250624043867e-05
1716037283.1157722,3929,9.607539686840028e-05
1716037315.6143394,3957,9.604736260371283e-05
1716037414.58835,4037,9.59672688622959e-05
1716037610.7468398,4197,9.580705227563158e-05
1716037758.7266185,4318,9.568587120156735e-05
1716037860.0159662,4401,9.560273610986769e-05
1716037968.59093,4493,9.551057883072644e-05
1716037989.4025471,4510,9.549354581395164e-05
1716038210.5583458,4669,9.533424599794671e-05
1716038220.5984123,4677,9.532622789265588e-05
1716038357.1240778,4789,9.521400352241471e-05
1716038574.4177184,4972,9.503059118287638e-05
1716038740.4406009,5107,9.489526564721018e-05
1716038776.3920975,5135,9.486719500273466e-05
1716039033.8397195,5346,9.465563198318705e-05
1716039051.0335765,5360,9.464159666094929e-05
1716039305.716568,5550,9.445104660699144e-05
1716039464.302253,5680,9.432063961867243e-05
1716039518.5406835,5724,9.42765036597848e-05
1716039620.80649,5809,9.419122216058895e-05
1716039686.8219986,5865,9.413502993993461e-05
1716039694.8300714,5872,9.412800864083692e-05
1716039738.004017,5908,9.40918835112825e-05
1716039838.772028,5991,9.400859562447295e-05
1716040093.852027,6201,9.379782568430528e-05
1716040116.2669148,6220,9.37787553993985e-05
1716040200.6766922,6290,9.370848420076072e-05
1716040578.59709,6575,9.342232078779489e-05
1716040613.7975924,6604,9.339320240542293e-05
1716040731.3749666,6700,9.329678141511977e-05
1716040746.6349013,6712,9.328473242931068e-05
1716040919.9253855,6855,9.314109047409147e-05
1716041056.2676497,6967,9.302856778958812e-05
1716041234.9809961,7115,9.287986176786944e-05
1716041283.4062815,7156,9.283865801990032e-05
1716041587.017947,7383,9.261050581699237e-05
1716041682.5733047,7461,9.253209282178432e-05
1716041686.0787249,7464,9.252908057533205e-05
1716041744.4899843,7512,9.248081914847717e-05
1716042077.027852,7789,9.220228821504861e-05
1716042088.860591,7799,9.21922255656682e-05
1716042131.0386422,7834,9.215703175868839e-05
1716042327.1939256,7992,9.199810301652178e-05
1716042417.5231218,8067,9.19226513360627e-05
1716042582.6838582,8181,9.180795314023271e-05
1716042633.0764914,8222,9.176669846056029e-05
1716042802.6093924,8364,9.162379865301773e-05
1716042818.7395809,8378,9.160971239907667e-05
1716042968.0444267,8499,9.148792742053047e-05
1716042980.300457,8509,9.147785749519244e-05
1716043093.5172641,8602,9.138423774857074e-05
1716043433.897543,8879,9.110533574130386e-05
1716043495.275864,8929,9.10549788386561e-05
1716043503.3400753,8936,9.104793571168557e-05
1716043571.325529,8994,9.098951704800129e-05
1716043927.4630148,9261,9.072055399883538e-05
1716044174.6857529,9469,9.051096276380122e-05
1716044277.6511338,9555,9.042429155670106e-05
1716044294.8144808,9568,9.041118755703792e-05
1716044429.3141387,9681,9.029728244058788e-05
1716044450.4843729,9699,9.02791362022981e-05
1716044631.0389497,9844,9.013295493787155e-05
1716044709.0414026,9908,9.006842446979135e-05
1716045187.085995,10277,8.969626651378348e-05
1716045196.14297,10284,8.968920883489773e-05
1716045333.006821,10400,8.957217505667359e-05
1716045429.8260248,10480,8.949145558290184e-05
1716045482.9982152,10523,8.944806904764846e-05
1716045585.6681745,10608,8.936228550737724e-05
1716045771.750724,10758,8.921089465729892e-05
1716045773.276868,10759,8.920988329919055e-05
1716045800.1293342,10781,8.918767707655206e-05
1716045912.930519,10851,8.911701297620311e-05
1716045976.4533103,10903,8.906451694201678e-05
1716045979.89668,10906,8.906148286769167e-05
1716046055.4857728,10967,8.899989916244522e-05
1716046065.3507302,10975,8.899182284949347e-05
1716046120.6470568,11021,8.894537313608453e-05
1716046219.6696217,11103,8.886257273843512e-05
1716046606.713468,11420,8.854238694766536e-05
1716046670.2550042,11473,8.848884317558259e-05
1716046694.215238,11493,8.8468637841288e-05
1716046742.720993,11533,8.842821989674121e-05
1716046784.1595206,11567,8.839387010084465e-05
1716046927.6500056,11686,8.827362034935504e-05
1716047046.3263729,11760,8.819883078103885e-05
1716047300.7580163,11970,8.798656199360266e-05
1716047307.368467,11975,8.79815052030608e-05
1716047504.6406353,12139,8.781569340499118e-05
1716047536.0674527,12165,8.778939809417352e-05
1716047690.5053678,12291,8.766197424847633e-05
1716048182.9112256,12672,8.72765522217378e-05
1716048429.1231804,12878,8.706808148417622e-05
1716048503.29417,12940,8.700532634975389e-05
1716048618.755916,13035,8.690916001796722e-05
1716048651.6882827,13062,8.688182424521074e-05
1716048691.911275,13095,8.684842032380402e-05
1716048711.3252132,13110,8.68332281243056e-05
1716049073.6429908,13403,8.653652912471443e-05
1716049271.7985091,13547,8.63906680024229e-05
1716049334.346626,13598,8.63390087033622e-05
1716049362.2964804,13621,8.631570381112397e-05
1716049593.6224585,13811,8.612318924861029e-05
1716049685.3383763,13885,8.60481959534809e-05
1716049922.6830816,14081,8.584953320678324e-05
1716050091.5495489,14222,8.570658974349499e-05
1716050180.2099278,14295,8.56325714266859e-05
1716050212.3916306,14321,8.56062033562921e-05
1716050233.644875,14339,8.558794797863811e-05
1716050305.4867916,14398,8.552811777917668e-05
1716050367.1855445,14448,8.547741163056344e-05
1716050617.177248,14633,8.528975740773603e-05
1716050624.0240066,14639,8.528367470717058e-05
1716050660.6893768,14669,8.525323937647045e-05
1716050683.0910397,14688,8.523396536475047e-05
1716050795.5732052,14780,8.514062210451812e-05
1716050832.2292433,14810,8.511017949786037e-05
1716050913.066544,14874,8.504523430019617e-05
1716050936.0047107,14893,8.502595301251858e-05
1716051172.7674246,15091,8.482499833917245e-05
1716051460.1002045,15325,8.458743104711175e-05
1716051669.9335194,15474,8.44361275085248e-05
1716051672.4393592,15476,8.443409751635045e-05
1716051708.8931637,15508,8.440159581368789e-05
1716051992.3332787,15741,8.416491618845612e-05
1716052021.6891618,15765,8.414053445449099e-05
1716052453.3032346,16117,8.378281927434728e-05
1716052614.9998732,16250,8.364761742996052e-05
1716052732.5371447,16322,8.357441402040422e-05
1716053192.24372,16698,8.31920187920332e-05
1716053328.8912616,16810,8.307807729579508e-05
1716053386.9939694,16858,8.302924106828868e-05
1716053437.0908537,16900,8.298650936922058e-05
1716053641.1128495,17067,8.281655755126849e-05
1716053679.3505027,17098,8.278500172309577e-05
1716053947.0914617,17293,8.258650632342324e-05
1716053976.6094408,17318,8.256104774773121e-05
1716054002.5256054,17340,8.253865235019475e-05
1716054248.4430873,17544,8.23309164843522e-05
1716054265.9007664,17558,8.231666288338602e-05
1716054302.1603022,17587,8.228712249547243e-05
1716054312.4050922,17595,8.227897342294455e-05
1716054747.5536282,17954,8.191324013751e-05
1716054826.6995783,18019,8.184699981939048e-05
1716054911.8366997,18066,8.17991021904163e-05
1716055384.512571,18452,8.140558929881081e-05
1716055997.9194708,18959,8.088840695563704e-05
1716056217.6490722,19117,8.072716445894912e-05
1716056281.8737342,19170,8.067306771408767e-05
1716056406.5201256,19272,8.056894148467109e-05
1716056721.986291,19532,8.030345634324476e-05
1716056853.7316332,19641,8.019213419174775e-05
1716056869.8569953,19655,8.017782965907827e-05
1716056966.7708578,19732,8.009917655726895e-05
1716057105.003534,19847,7.998169166967273e-05
1716057241.5716617,19939,7.988768629729748e-05
1716057314.335159,19996,7.982943498063833e-05
1716057364.7495089,20036,7.978855865076184e-05
1716057386.7946208,20054,7.977015775395557e-05
1716057398.2795277,20063,7.976096094353124e-05
1716057491.638739,20139,7.968328282004222e-05
1716057620.829944,20245,7.95749292592518e-05
1716057630.174749,20253,7.956675108289346e-05
1716057715.2935107,20324,7.949415885377675e-05
1716057857.59283,20441,7.937452755868435e-05
1716057910.2054093,20486,7.932850712677464e-05
1716057974.1587179,20540,7.927328260848299e-05
1716057975.3101208,20541,7.9272263974417e-05
1716058001.2020447,20563,7.924975943751633e-05
1716058022.0860267,20579,7.923339580884203e-05
1716058294.1842856,20780,7.902778452262282e-05
1716058297.8828735,20783,7.902471406850964e-05
1716058358.6295257,20832,7.897458272054791e-05
1716058387.3761404,20856,7.895002636360005e-05
1716058662.9031112,21081,7.87197714089416e-05
1716058738.75731,21145,7.865425868658349e-05
1716058817.950152,21210,7.858772005420178e-05
1716058845.1612651,21233,7.856417505536228e-05
1716058951.3449628,21320,7.847510278224945e-05
1716058957.0260346,21325,7.846998050808907e-05
1716059040.650683,21392,7.840138277970254e-05
1716059204.4966133,21524,7.826620276318863e-05
1716059421.0142457,21682,7.810435636201873e-05
1716059593.6149623,21822,7.796092540957034e-05
1716059625.8773797,21849,7.793326221872121e-05
1716059818.0822484,22007,7.777134305797517e-05
1716060112.2373471,22246,7.752634701319039e-05
1716060166.947778,22293,7.747815834591165e-05
1716060211.520842,22331,7.74391955928877e-05
1716060246.7106817,22359,7.741047738818452e-05
1716060385.1054614,22473,7.729357457719743e-05
1716060764.7775326,22766,7.699300476815552e-05
1716060854.107456,22841,7.691603968851268e-05
1716061224.2420619,23139,7.661017298232764e-05
1716061236.5209436,23149,7.659991388209164e-05
1716061289.4267385,23193,7.655473746126518e-05
1716061320.6589572,23219,7.652804197277874e-05
1716061374.5837982,23264,7.648183964192867e-05
1716061402.2164934,23287,7.645822188351303e-05
1716061495.097829,23362,7.638119859620929e-05
1716061573.1776056,23428,7.631341577507555e-05
1716061740.2312045,23541,7.61973496992141e-05
1716061898.1014626,23671,7.606379222124815e-05
1716061910.8254986,23682,7.605249265907332e-05
1716061935.7857034,23702,7.603194535477087e-05
1716062220.6555285,23939,7.578838267363608e-05
1716062391.5114353,24080,7.564344559796154e-05
1716062439.5424087,24119,7.560334779554978e-05
1716062475.4580612,24148,7.557353092124686e-05
1716062642.757227,24283,7.543471292592585e-05
1716062645.1580746,24285,7.543265382992104e-05
1716062692.27079,24323,7.539357466157526e-05
1716062720.417266,24346,7.536992052337155e-05
1716063084.6320531,24622,7.508599810535088e-05
1716063202.519621,24720,7.49851533328183e-05
1716063211.7766125,24728,7.497692422475666e-05
1716063424.018662,24902,7.479784107999876e-05
1716063464.7402713,24935,7.476386963389814e-05
1716063556.7118533,25009,7.468769035767764e-05
1716063603.4742477,25048,7.464753434760496e-05
1716063709.362694,25134,7.455898594344035e-05
1716063856.0814848,25254,7.443540380336344e-05
1716063976.803653,25333,7.435403676936403e-05
1716064047.102892,25392,7.429326069541276e-05
1716064404.6961408,25687,7.398930029012263e-05
1716064559.3596714,25813,7.385943172266707e-05
1716064602.8268516,25848,7.382335752481595e-05
1716064692.314133,25922,7.374706910923123e-05
1716064868.9724743,26067,7.359755545621738e-05
1716064899.9101424,26092,7.357177673839033e-05
1716064978.0572777,26156,7.350577652687207e-05
1716064995.7439296,26170,7.349133375100791e-05
1716065185.3696826,26304,7.335311966016889e-05
1716065307.3264284,26404,7.324994658119977e-05
1716065389.790885,26471,7.318081770790741e-05
1716065790.0371625,26798,7.28433151380159e-05
1716065791.0487487,26799,7.284228195203468e-05
1716065828.9355495,26830,7.281027501448989e-05
1716066233.8078485,27143,7.248704059747979e-05
1716066240.7605464,27149,7.24808414815925e-05
1716066248.7722635,27155,7.247464236570522e-05
1716066253.5400789,27159,7.247050962178037e-05
1716066254.5355906,27160,7.246947643579915e-05
1716066393.0022464,27275,7.235067459987476e-05
1716066673.5561492,27506,7.211197225842625e-05
1716066794.497792,27604,7.201067637652159e-05
1716066815.0792766,27621,7.199309766292572e-05
1716066836.3312812,27639,7.197449303930625e-05
1716067067.7293344,27826,7.178114901762456e-05
1716067178.4675424,27917,7.168704178184271e-05
1716067220.3757842,27951,7.165187707869336e-05
1716067241.7022274,27969,7.163325790315866e-05
1716067616.6721003,28252,7.134048064472154e-05
1716067702.6748686,28322,7.126804121071473e-05
1716067845.083602,28439,7.114694744814187e-05
1716067861.0101817,28452,7.113348692655563e-05
1716067973.9234211,28544,7.103825191734359e-05
1716068009.6406171,28573,7.100823131622747e-05
1716068057.3473136,28612,7.096784975146875e-05
1716068519.1816645,28971,7.059603376546875e-05
1716068550.0576408,28997,7.056909817038104e-05
1716068598.6621087,29038,7.052662112982944e-05
1716068630.2146134,29063,7.050071872072294e-05
1716068798.6311312,29202,7.035667658783495e-05
1716068874.7182267,29264,7.029241533018649e-05
1716069131.0102828,29472,7.007679232629016e-05
1716069150.2470787,29488,7.006020314292982e-05
1716069241.7667928,29562,6.998347089393064e-05
1716069304.4380853,29612,6.993161514401436e-05
1716069465.2850962,29748,6.979055615374818e-05
1716069591.6149137,29830,6.970549293328077e-05
