Wall time,Step,Value
1716044196.401093,43,9.998348832596093e-05
1716044505.6311715,168,9.993549610953778e-05
1716044656.4073474,230,9.991168190026656e-05
1716045260.5749068,475,9.981760376831517e-05
1716045415.3465729,537,9.979378955904394e-05
1716045538.753281,587,9.977458830690011e-05
1716045690.1936328,648,9.975115972338244e-05
1716046594.2132392,1015,9.961019532056525e-05
1716047383.3215203,1334,9.948765364242718e-05
1716047514.7876914,1386,9.946767386281863e-05
1716047643.4941144,1437,9.944807970896363e-05
1716048396.2270281,1738,9.933242836268619e-05
1716048741.0201945,1878,9.927863720804453e-05
1716049807.7475743,2308,9.91133856587112e-05
1716050552.180254,2390,9.908186621032655e-05
1716050795.2608562,2487,9.904458420351148e-05
1716051291.430579,2686,9.896809206111357e-05
1716052694.797584,3247,9.875241812551394e-05
1716052843.5566757,3306,9.872973168967292e-05
1716055348.6927054,4318,9.834052616497502e-05
1716055554.0752554,4401,9.830859926296398e-05
1716055781.684551,4493,9.827320900512859e-05
1716055824.2707627,4510,9.826666791923344e-05
1716057510.8321056,4972,9.808891627471894e-05
1716057920.9144037,5135,9.802619024412706e-05
1716058446.7975574,5346,9.794499783311039e-05
1716059382.127209,5724,9.779950778465718e-05
1716059839.1377761,5908,9.772868361324072e-05
1716060043.7987974,5991,9.769673488335684e-05
1716060568.1955352,6201,9.761589171830565e-05
1716061806.4088895,6700,9.74237555055879e-05
1716061837.164326,6712,9.74191352725029e-05
1716062193.2064972,6855,9.736407082527876e-05
1716062474.430327,6967,9.732093894854188e-05
1716063478.7721753,7156,9.724815026856959e-05
1716064239.930572,7464,9.712951577967033e-05
1716065074.0993733,7799,9.700046211946756e-05
1716065162.1014047,7834,9.698697249405086e-05
1716065742.5687342,8067,9.689720172900707e-05
1716066025.3721478,8181,9.685327677289024e-05
1716066128.9762094,8222,9.683748066890985e-05
1716066827.3387253,8499,9.673073509475216e-05
1716067770.3467941,8879,9.658427734393626e-05
1716067911.5977762,8936,9.656231122789904e-05
1716068716.2760231,9261,9.643702651374042e-05
1716069764.4772274,9469,9.63568381848745e-05
1716069979.2612078,9555,9.632368164602667e-05
1716070332.8291738,9699,9.626815881347284e-05
1716072082.8042996,10400,9.599782060831785e-05
1716072279.261143,10480,9.59669632720761e-05
1716072383.5350792,10523,9.595037408871576e-05
1716073338.368774,10906,9.580262849340215e-05
1716073486.7353253,10967,9.577909804647788e-05
1716073623.959076,11021,9.575826697982848e-05
1716074900.4616673,11533,9.556070290273055e-05
1716074983.5690763,11567,9.554758435115218e-05
1716076522.7681913,11970,9.539204620523378e-05
1716076535.819518,11975,9.539011807646602e-05
1716077006.424909,12165,9.531678369967267e-05
1716077320.0772154,12291,9.526814392302185e-05
1716078786.4247262,12878,9.504151239525527e-05
1716079178.9331343,13035,9.498088184045628e-05
1716079246.8961318,13062,9.497045539319515e-05
1716082851.12626,14295,9.449418575968593e-05
1716083780.1435792,14669,9.434966341359541e-05
1716084053.8141773,14780,9.430676436750218e-05
1716084282.551282,14874,9.427043551113456e-05
1716085788.9707668,15474,9.403851436218247e-05
1716086513.9363468,15765,9.392600622959435e-05
1716087382.512957,16117,9.378990216646343e-05
1716089759.7342706,16858,9.350330219604075e-05
1716090281.646203,17067,9.342245175503194e-05
1716090355.063439,17098,9.341046097688377e-05
1716090909.8738744,17318,9.332533954875544e-05
1716091475.2738435,17544,9.323788981419057e-05
1716096965.5244067,19532,9.24682681215927e-05
1716097234.4100392,19641,9.24260457395576e-05
1716097462.0439851,19732,9.239080100087449e-05
1716098119.2881098,19996,9.228853741660714e-05
1716098263.7002125,20054,9.226606198353693e-05
1716098285.3301282,20063,9.226257679983974e-05
1716098737.6623852,20245,9.219206549460068e-05
1716098939.0668945,20324,9.216145554091781e-05
1716099476.1179857,20540,9.207776020048186e-05
1716099573.9532938,20579,9.20626480365172e-05
1716100080.199635,20780,9.198475891025737e-05
1716100087.5790958,20783,9.19835947570391e-05
1716100268.8982127,20856,9.195530583383515e-05
1716100835.8681457,21081,9.186810348182917e-05
1716101532.1106827,21145,9.18432924663648e-05
1716101969.353154,21320,9.177545871352777e-05
1716103291.8102405,21849,9.157037129625678e-05
1716104286.030918,22246,9.141642658505589e-05
1716104497.3215675,22331,9.138346649706364e-05
1716104567.050424,22359,9.137260349234566e-05
1716106505.140995,23139,9.107004734687507e-05
1716106877.756056,23287,9.101262548938394e-05
1716107068.3807905,23362,9.09835216589272e-05
1716107235.182679,23428,9.095791028812528e-05
1716108377.578872,23671,9.086362115340307e-05
1716108453.7307992,23702,9.085158671950921e-05
1716109572.6509118,24148,9.067849168786779e-05
1716109915.2890718,24283,9.062608296517283e-05
1716109921.1874428,24285,9.062531171366572e-05
1716110015.926528,24323,9.061055607162416e-05
